location,indicator,subject,measure,frequency,year,value,flag_code
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1960,14.09,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1961,13.75,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1962,12.93,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1963,12.87,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1964,12.02,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1965,11.96,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1966,10.76,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1967,10.50,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1968,9.90,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1969,9.73,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1970,8.47,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1971,8.82,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1972,8.69,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1973,7.90,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1974,8.17,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1975,8.22,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1976,8.11,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1977,7.32,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1978,7.35,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1979,7.18,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1980,6.82,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1981,7.22,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1982,7.07,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1983,7.15,
AUS,RENEWABLE,TOT,PC_PRYENRGSUPPLY,A,1984,6.79,
