year,avg_renewable_pct
1960,15.69
1961,15.73
1962,15.41
1963,14.86
1964,14.47
1965,13.89
1966,13.68
1967,13.41
1968,12.90
1969,12.49
1970,12.59
1971,32.26
1972,31.83
1973,31.10
1974,31.22
1975,31.38
1976,31.09
1977,30.77
1978,30.53
1979,30.69
1980,30.69
1981,31.33
1982,31.50
1983,31.73
1984,31.89
1985,31.60
1986,31.56
1987,31.32
1988,31.23
1989,31.17
1990,27.63
1991,27.94
1992,28.26
1993,28.42
1994,28.79
1995,28.64
1996,28.46
1997,28.12
1998,27.84
1999,27.77
2000,28.26
2001,27.82
2002,27.87
2003,27.65
2004,27.49
2005,27.54
2006,27.38
2007,27.00
2008,27.11
2009,27.64
2010,27.71
2011,27.36
2012,27.39
2013,27.76
2014,27.48
2015,17.90
